frequency_hz,quantity,id,re,im
4.21696503E+01,voltage,Rod_2_n2,2.09299164E+01,-2.02410851E-02
4.21696503E+01,voltage,Rod_2_n3,2.09298889E+01,-2.03932222E-02
4.21696503E+01,voltage,Rod_2_n4,2.09298687E+01,-2.05101668E-02
4.21696503E+01,voltage,Rod_2_n5,2.09298559E+01,-2.05880279E-02
4.21696503E+01,voltage,Rod_1_n1,2.09304470E+01,-1.64932688E-02
4.21696503E+01,voltage,Rod_1_n2,2.09303562E+01,-1.71495970E-02
4.21696503E+01,voltage,Rod_1_n3,2.09302654E+01,-1.78246085E-02
4.21696503E+01,voltage,Rod_1_n4,2.09301746E+01,-1.85097086E-02
4.21696503E+01,voltage,Rod_1_n5,2.09300838E+01,-1.92004323E-02
5.62341325E+01,voltage,Node_1,2.09273918E+01,-1.75527242E-02
5.62341325E+01,voltage,Node_2,2.09268388E+01,-2.28849047E-02
5.62341325E+01,voltage,Node_3,2.09266951E+01,-2.38588694E-02
5.62341325E+01,voltage,Rod_2_n1,2.09267963E+01,-2.31090550E-02
5.62341325E+01,voltage,Rod_2_n2,2.09267611E+01,-2.33479430E-02
5.62341325E+01,voltage,Rod_2_n3,2.09267332E+01,-2.35507533E-02
5.62341325E+01,voltage,Rod_2_n4,2.09267126E+01,-2.37066513E-02
5.62341325E+01,voltage,Rod_2_n5,2.09266997E+01,-2.38104488E-02
5.62341325E+01,voltage,Rod_1_n1,2.09272996E+01,-1.83514526E-02
5.62341325E+01,voltage,Rod_1_n2,2.09272075E+01,-1.92264566E-02
5.62341325E+01,voltage,Rod_1_n3,2.09271153E+01,-2.01263750E-02
5.62341325E+01,voltage,Rod_1_n4,2.09270231E+01,-2.10397469E-02
5.62341325E+01,voltage,Rod_1_n5,2.09269310E+01,-2.19606178E-02
7.49894209E+01,voltage,Node_1,2.09237643E+01,-1.92025309E-02
7.49894209E+01,voltage,Node_2,2.09231972E+01,-2.63100387E-02
7.49894209E+01,voltage,Node_3,2.09230499E+01,-2.76080496E-02
7.49894209E+01,voltage,Rod_2_n1,2.09231537E+01,-2.66087190E-02
7.49894209E+01,voltage,Rod_2_n2,2.09231176E+01,-2.69270864E-02
7.49894209E+01,voltage,Rod_2_n3,2.09230890E+01,-2.71973833E-02
7.49894209E+01,voltage,Rod_2_n4,2.09230679E+01,-2.74051621E-02
7.49894209E+01,voltage,Rod_2_n5,2.09230546E+01,-2.75435059E-02
7.49894209E+01,voltage,Rod_1_n1,2.09236698E+01,-2.02671408E-02
7.49894209E+01,voltage,Rod_1_n2,2.09235753E+01,-2.14334658E-02
7.49894209E+01,voltage,Rod_1_n3,2.09234808E+01,-2.26330148E-02
7.49894209E+01,voltage,Rod_1_n4,2.09233862E+01,-2.38505043E-02
7.49894209E+01,voltage,Rod_1_n5,2.09232917E+01,-2.50779939E-02
1.00000000E+02,voltage,Node_1,2.09195839E+01,-2.07555421E-02
1.00000000E+02,voltage,Node_2,2.09189934E+01,-3.02267281E-02
1.00000000E+02,voltage,Node_3,2.09188399E+01,-3.19558879E-02
1.00000000E+02,voltage,Rod_2_n1,2.09189481E+01,-3.06245106E-02
1.00000000E+02,voltage,Rod_2_n2,2.09189105E+01,-3.10486266E-02
1.00000000E+02,voltage,Rod_2_n3,2.09188806E+01,-3.14087282E-02
1.00000000E+02,voltage,Rod_2_n4,2.09188587E+01,-3.16855516E-02
1.00000000E+02,voltage,Rod_2_n5,2.09188448E+01,-3.18698750E-02
1.00000000E+02,voltage,Rod_1_n1,2.09194855E+01,-2.21740843E-02
1.00000000E+02,voltage,Rod_1_n2,2.09193871E+01,-2.37282657E-02
1.00000000E+02,voltage,Rod_1_n3,2.09192886E+01,-2.53267520E-02
1.00000000E+02,voltage,Rod_1_n4,2.09191902E+01,-2.69491622E-02
1.00000000E+02,voltage,Rod_1_n5,2.09190918E+01,-2.85849079E-02
1.33352143E+02,voltage,Node_1,2.09147692E+01,-2.20834392E-02
1.33352143E+02,voltage,Node_2,2.09141407E+01,-3.46989349E-02
1.33352143E+02,voltage,Node_3,2.09139775E+01,-3.70010430E-02
1.33352143E+02,voltage,Rod_2_n1,2.09140926E+01,-3.52282861E-02
1.33352143E+02,voltage,Rod_2_n2,2.09140526E+01,-3.57929297E-02
1.33352143E+02,voltage,Rod_2_n3,2.09140208E+01,-3.62723985E-02
1.33352143E+02,voltage,Rod_2_n4,2.09139974E+01,-3.66410076E-02
1.33352143E+02,voltage,Rod_2_n5,2.09139827E+01,-3.68864648E-02
1.33352143E+02,voltage,Rod_1_n1,2.09146645E+01,-2.39726732E-02
1.33352143E+02,voltage,Rod_1_n2,2.09145597E+01,-2.60427851E-02
1.33352143E+02,voltage,Rod_1_n3,2.09144550E+01,-2.81719786E-02
1.33352143E+02,voltage,Rod_1_n4,2.09143502E+01,-3.03330751E-02
1.33352143E+02,voltage,Rod_1_n5,2.09142455E+01,-3.25119548E-02
1.77827941E+02,voltage,Node_1,2.09092255E+01,-2.30025304E-02
1.77827941E+02,voltage,Node_2,2.09085395E+01,-3.97966858E-02
1.77827941E+02,voltage,Node_3,2.09083614E+01,-4.28591122E-02
1.77827941E+02,voltage,Rod_2_n1,2.09084870E+01,-4.05003936E-02
1.77827941E+02,voltage,Rod_2_n2,2.09084433E+01,-4.12515207E-02
1.77827941E+02,voltage,Rod_2_n3,2.09084087E+01,-4.18894433E-02
1.77827941E+02,voltage,Rod_2_n4,2.09083831E+01,-4.23799171E-02
1.77827941E+02,voltage,Rod_2_n5,2.09083670E+01,-4.27065606E-02
1.77827941E+02,voltage,Rod_1_n1,2.09091112E+01,-2.55170515E-02
1.77827941E+02,voltage,Rod_1_n2,2.09089969E+01,-2.82727770E-02
1.77827941E+02,voltage,Rod_1_n3,2.09088825E+01,-3.11072890E-02
1.77827941E+02,voltage,Rod_1_n4,2.09087682E+01,-3.39843444E-02
1.77827941E+02,voltage,Rod_1_n5,2.09086539E+01,-3.68851140E-02
2.37137371E+02,voltage,Node_1,2.09028402E+01,-2.32523715E-02
2.37137371E+02,voltage,Node_2,2.09020740E+01,-4.55957452E-02
2.37137371E+02,voltage,Node_3,2.09018749E+01,-4.96660766E-02
2.37137371E+02,voltage,Rod_2_n1,2.09020154E+01,-4.65301991E-02
2.37137371E+02,voltage,Rod_2_n2,2.09019666E+01,-4.75285349E-02
2.37137371E+02,voltage,Rod_2_n3,2.09019278E+01,-4.83765910E-02
2.37137371E+02,voltage,Rod_2_n4,2.09018993E+01,-4.90287146E-02
2.37137371E+02,voltage,Rod_2_n5,2.09018813E+01,-4.94630788E-02
2.37137371E+02,voltage,Rod_1_n1,2.09027125E+01,-2.65968737E-02
2.37137371E+02,voltage,Rod_1_n2,2.09025848E+01,-3.02630274E-02
2.37137371E+02,voltage,Rod_1_n3,2.09024571E+01,-3.40342445E-02
2.37137371E+02,voltage,Rod_1_n4,2.09023294E+01,-3.78621942E-02
2.37137371E+02,voltage,Rod_1_n5,2.09022017E+01,-4.17217672E-02
3.16227766E+02,voltage,Node_1,2.08954775E+01,-2.24633855E-02
3.16227766E+02,voltage,Node_2,2.08946095E+01,-5.21761573E-02
3.16227766E+02,voltage,Node_3,2.08943840E+01,-5.75826157E-02
3.16227766E+02,voltage,Rod_2_n1,2.08945433E+01,-5.34159862E-02
3.16227766E+02,voltage,Rod_2_n2,2.08944880E+01,-5.47420322E-02
3.16227766E+02,voltage,Rod_2_n3,2.08944440E+01,-5.58687594E-02
3.16227766E+02,voltage,Rod_2_n4,2.08944117E+01,-5.67353084E-02
3.16227766E+02,voltage,Rod_2_n5,2.08943912E+01,-5.73126014E-02
3.16227766E+02,voltage,Rod_1_n1,2.08953329E+01,-2.69095850E-02
3.16227766E+02,voltage,Rod_1_n2,2.08951882E+01,-3.17847135E-02
3.16227766E+02,voltage,Rod_1_n3,2.08950435E+01,-3.67999464E-02
3.16227766E+02,voltage,Rod_1_n4,2.08948989E+01,-4.18908334E-02
3.16227766E+02,voltage,Rod_1_n5,2.08947542E+01,-4.70238906E-02
4.21696503E+02,voltage,Node_1,2.08869769E+01,-2.01116838E-02
4.21696503E+02,voltage,Node_2,2.08859903E+01,-5.96194916E-02
4.21696503E+02,voltage,Node_3,2.08857339E+01,-6.67993578E-02
4.21696503E+02,voltage,Rod_2_n1,2.08859152E+01,-6.12641016E-02
4.21696503E+02,voltage,Rod_2_n2,2.08858523E+01,-6.30251073E-02
4.21696503E+02,voltage,Rod_2_n3,2.08858023E+01,-6.45218202E-02
4.21696503E+02,voltage,Rod_2_n4,2.08857655E+01,-6.56731113E-02
4.21696503E+02,voltage,Rod_2_n5,2.08857422E+01,-6.64402450E-02
4.21696503E+02,voltage,Rod_1_n1,2.08868125E+01,-2.60216512E-02
4.21696503E+02,voltage,Rod_1_n2,2.08866481E+01,-3.25036045E-02
4.21696503E+02,voltage,Rod_1_n3,2.08864837E+01,-3.91723899E-02
4.21696503E+02,voltage,Rod_1_n4,2.08863192E+01,-4.59420618E-02
4.21696503E+02,voltage,Rod_1_n5,2.08861548E+01,-5.27679686E-02
5.62341325E+02,voltage,Node_1,2.08771563E+01,-1.54642583E-02
5.62341325E+02,voltage,Node_2,2.08760370E+01,-6.80059303E-02
5.62341325E+02,voltage,Node_3,2.08757459E+01,-7.75434291E-02
5.62341325E+02,voltage,Rod_2_n1,2.08759521E+01,-7.01882206E-02
5.62341325E+02,voltage,Rod_2_n2,2.08758807E+01,-7.25274739E-02
5.62341325E+02,voltage,Rod_2_n3,2.08758239E+01,-7.45161540E-02
5.62341325E+02,voltage,Rod_2_n4,2.08757819E+01,-7.60461103E-02
5.62341325E+02,voltage,Rod_2_n5,2.08757554E+01,-7.70657389E-02
5.62341325E+02,voltage,Rod_1_n1,2.08769698E+01,-2.33215204E-02
5.62341325E+02,voltage,Rod_1_n2,2.08767832E+01,-3.19415381E-02
5.62341325E+02,voltage,Rod_1_n3,2.08765967E+01,-4.08107003E-02
5.62341325E+02,voltage,Rod_1_n4,2.08764102E+01,-4.98143968E-02
5.62341325E+02,voltage,Rod_1_n5,2.08762236E+01,-5.88930837E-02
7.49894209E+02,voltage,Node_1,2.08658127E+01,-7.51231393E-03
7.49894209E+02,voltage,Node_2,2.08645436E+01,-7.74105512E-02
7.49894209E+02,voltage,Node_3,2.08642132E+01,-9.00857277E-02
7.49894209E+02,voltage,Rod_2_n1,2.08644477E+01,-8.03080522E-02
7.49894209E+02,voltage,Rod_2_n2,2.08643667E+01,-8.34168664E-02
7.49894209E+02,voltage,Rod_2_n3,2.08643021E+01,-8.60603627E-02
7.49894209E+02,voltage,Rod_2_n4,2.08642544E+01,-8.80943664E-02
7.49894209E+02,voltage,Rod_2_n5,2.08642241E+01,-8.94501231E-02
7.49894209E+02,voltage,Rod_1_n1,2.08656012E+01,-1.79622734E-02
7.49894209E+02,voltage,Rod_1_n2,2.08653897E+01,-2.94293837E-02
7.49894209E+02,voltage,Rod_1_n3,2.08651782E+01,-4.12287336E-02
7.49894209E+02,voltage,Rod_1_n4,2.08649667E+01,-5.32074877E-02
7.49894209E+02,voltage,Rod_1_n5,2.08647552E+01,-6.52862431E-02
1.00000000E+03,voltage,Node_1,2.08527151E+01,5.12001997E-03
1.00000000E+03,voltage,Node_2,2.08512730E+01,-8.78973849E-02
1.00000000E+03,voltage,Node_3,2.08508967E+01,-1.04750005E-01
1.00000000E+03,voltage,Rod_2_n1,2.08511646E+01,-9.17467382E-02
1.00000000E+03,voltage,Rod_2_n2,2.08510724E+01,-9.58801224E-02
1.00000000E+03,voltage,Rod_2_n3,2.08509987E+01,-9.93955053E-02
1.00000000E+03,voltage,Rod_2_n4,2.08509441E+01,-1.02100686E-01
1.00000000E+03,voltage,Rod_2_n5,2.08509094E+01,-1.03904050E-01
1.00000000E+03,voltage,Rod_1_n1,2.08524748E+01,-8.78299306E-03
1.00000000E+03,voltage,Rod_1_n2,2.08522345E+01,-2.40423983E-02
1.00000000E+03,voltage,Rod_1_n3,2.08519942E+01,-3.97448523E-02
1.00000000E+03,voltage,Rod_1_n4,2.08517538E+01,-5.56865456E-02
1.00000000E+03,voltage,Rod_1_n5,2.08515134E+01,-7.17615926E-02
1.33352143E+03,voltage,Node_1,2.08375950E+01,2.43057188E-02
1.33352143E+03,voltage,Node_2,2.08359514E+01,-9.95099549E-02
1.33352143E+03,voltage,Node_3,2.08355210E+01,-1.21925196E-01
1.33352143E+03,voltage,Rod_2_n1,2.08358288E+01,-1.04626370E-01
1.33352143E+03,voltage,Rod_2_n2,2.08357234E+01,-1.10124043E-01
1.33352143E+03,voltage,Rod_2_n3,2.08356389E+01,-1.14800504E-01
1.33352143E+03,voltage,Rod_2_n4,2.08355760E+01,-1.18399523E-01
1.33352143E+03,voltage,Rod_2_n5,2.08355359E+01,-1.20799019E-01
1.33352143E+03,voltage,Rod_1_n1,2.08373212E+01,5.80325766E-03
1.33352143E+03,voltage,Rod_1_n2,2.08370474E+01,-1.45079816E-02
1.33352143E+03,voltage,Rod_1_n3,2.08367735E+01,-3.54100357E-02
1.33352143E+03,voltage,Rod_1_n4,2.08364995E+01,-5.66311205E-02
